"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"26",27,33,1.14474373486532,0.206637829359561,0.776136473995602,0.827340636218455,0.999436972352268,1.13233462239957,1.27653348705957,1.50448253802804,1.58384154566822
"27",28,34,2.05524249774684,0.266018770650669,1.5671918693851,1.63811118651526,1.87011534426294,2.04377664870181,2.22787538402568,2.5114882144707,2.60843871402721
"28",29,35,1.3228271820527,0.164469182913594,1.02025575541647,1.0644133746655,1.20849588737123,1.31601722400375,1.42973747715419,1.60447221049476,1.66409143229716
"29",30,36,1.16871617358695,0.144198061892278,0.90330210483844,0.942068004367766,1.06849704161786,1.16279109111901,1.26247854317323,1.41557690972261,1.46779548070383
"30",31,37,1.39883741470722,0.153829895105558,1.11366414408946,1.1557855026514,1.29223851829285,1.3932025918098,1.49929539709572,1.66111140312885,1.71602800194412
"31",32,38,1.37211540001796,0.138119203179072,1.11480582129701,1.15310381091774,1.27660317967503,1.36748376408397,1.46257975930978,1.60692673231135,1.65574279992815
"32",33,39,1.46416776021477,0.130599187991306,1.21940354034278,1.25617476612874,1.37409231817117,1.4602865831382,1.55001302206707,1.68540033310952,1.7309861648506
"33",34,40,1.54796935846495,0.119896798433319,1.32189144030602,1.35617555094559,1.46550201679018,1.54487495600034,1.62706388645685,1.75031877029119,1.79163117441754
"34",35,41,1.10612893913414,0.0886493173011585,0.939203369850246,0.964463173572762,1.04511557946338,1.10376161318141,1.164562004457,1.25587012838362,1.28650673189763
"35",36,42,1.18519734108531,0.0915244412305851,1.01259787581112,1.03877692138596,1.12224849520196,1.1828422461743,1.24557919603506,1.33965144278201,1.37117960562288
"36",37,43,1.32622967273131,0.0933848783749973,1.14950407577309,1.1764533460719,1.26210510752296,1.32403845633849,1.38796581338513,1.48348062124282,1.51540699009005
"37",38,44,1.20736725601125,0.0822099508049374,1.0516043001443,1.07540025557462,1.15094759337246,1.20550187053682,1.26175363411247,1.34569740150116,1.37373042155296
"38",39,45,1.1483292221474,0.0767791203122161,1.00276459720909,1.02502393974725,1.09565222914919,1.14661848479713,1.19914149093711,1.27747011369794,1.30361527624994
"39",40,46,1.08881236972994,0.0727997287890959,0.950792226054118,0.971897887244455,1.03886557705896,1.08719029833054,1.1369910851412,1.2112600070854,1.23605008979529
"40",41,47,1.01481029640933,0.0695843106793406,0.883001391759919,0.903130332698703,0.967049968379006,1.01322030304422,1.06083752210531,1.13191399799462,1.15565446444002
"41",42,48,1.11177947091147,0.0736795003286366,0.972049257919304,0.993426271297048,1.06123625859217,1.11015227362301,1.16054901539407,1.23568330839296,1.26075639786081
"42",43,49,1.3358489713441,0.0787580540827761,1.18592993931103,1.20899652526018,1.28191764740635,1.33430150305088,1.38809349661368,1.4679800614788,1.49456175134292
"43",44,50,1.21663016600965,0.0685830996287548,1.08590818596533,1.10606132781793,1.16969605483135,1.21534170138672,1.26215979236031,1.33159414148577,1.35467408992188
"44",45,51,1.30474644896778,0.0674948109798292,1.17579646030054,1.19574749019731,1.2586098158018,1.30358279340493,1.34961462979049,1.41771479311754,1.4403091724495
"45",46,52,1.1186398367542,0.0578674763943325,1.0080830351731,1.02518828718928,1.07908404732553,1.1176421628614,1.15710810352794,1.21549458593406,1.23486614492735
"46",47,53,1.11123230021566,0.0566564564195841,1.00294847460306,1.01971161999879,1.07251144515371,1.11026956748814,1.14890371862973,1.20603698973688,1.22498707668157
"47",48,54,1.11407859044792,0.0556559469517179,1.00765180383071,1.02414043814127,1.07605119910643,1.1131519275449,1.15109586094379,1.20717771139043,1.22577135974139
"48",49,55,1.09487164240304,0.0539607588456523,0.991651498519221,1.0076515470862,1.05800864466757,1.09398528462154,1.13076845288737,1.18511521925657,1.20312872976313
