"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"48",49,55,1.34698973247403,0.0663864012059637,1.22000089779123,1.23968530672478,1.30163822501429,1.34589927146952,1.39115256698203,1.45801386236805,1.48017537679443
"49",50,56,1.28641200512333,0.0618431575265682,1.16804168162571,1.18640711763055,1.24417689298216,1.28542112198507,1.3275669876112,1.38979692165562,1.41041327124277
"50",51,57,1.26939881404247,0.0594001220295538,1.1556313277216,1.17329985982187,1.2288450705982,1.26847241322537,1.30894271502693,1.3686578378713,1.38843081407519
"51",52,58,1.26776062265174,0.0579442146104637,1.15672091462743,1.17398010017773,1.22821159087601,1.26687793339498,1.30634745837389,1.36455210753609,1.38381644846295
"52",53,59,1.4367338425525,0.0604604358057355,1.32066149360871,1.33875260710457,1.39550483051473,1.43588583569773,1.47703845795006,1.53760772966511,1.55762523666633
"53",54,60,1.50500461810825,0.0606536279030563,1.3884575954479,1.40664717161936,1.46366238751579,1.5041898900916,1.54545872563044,1.606141196094,1.62618157787457
"54",55,61,1.58856448842191,0.0609325578795233,1.4713677227442,1.48968555845729,1.54705250942188,1.58778549313784,1.62922729301169,1.69010065929077,1.71018813776867
"55",56,62,1.73261468837853,0.0618125099759256,1.61356640414073,1.63221120245599,1.69053181358683,1.73187967246967,1.77389632644872,1.83552539400621,1.85583994025964
"56",57,63,1.72601498240969,0.0592824346547756,1.61176394047255,1.62967527661313,1.68566825851244,1.72533631675348,1.76562189505324,1.82466968991426,1.84412276784199
"57",58,64,1.63916412105308,0.0550784320939605,1.53297584165371,1.54963246015564,1.60168568748338,1.63854725570759,1.67597011088558,1.73079997558442,1.74885794535555
"58",59,65,1.58369538295728,0.0513902485412022,1.48456099498883,1.50012455937202,1.54873686828601,1.58313955367801,1.61804798810195,1.6691621988814,1.68598846088417
"59",60,66,1.65759266446527,0.0498045130927489,1.56140260937932,1.57653105904659,1.62373367991097,1.65709387751306,1.69090791940804,1.7403556834982,1.75661725236446
"60",61,67,1.78119737560167,0.0490874280799947,1.68627541790302,1.70123210198507,1.74784721132178,1.78074646784855,1.8140560019093,1.86270074081433,1.87868178031881
"61",62,68,1.75741933851352,0.0466915172729138,1.66708620689086,1.68133031502994,1.72570505780929,1.75700585219263,1.78868287406288,1.83491880494,1.85010225787253
"62",63,69,1.74901341510982,0.0446751458117941,1.66253753315007,1.67618379010684,1.71867674161725,1.74863304991836,1.77893544856538,1.82314050323113,1.83765086329545
"63",64,70,1.68130634219819,0.0416608029707724,1.60063477535933,1.61337229955584,1.65302214650673,1.68096225274495,1.70921544207019,1.75041410760987,1.76393332588177
"64",65,71,1.60025326252214,0.0383225220558284,1.52601548226656,1.53774436737905,1.5742410751345,1.59994735974,1.62593198149519,1.66380562174633,1.67622945049035
"65",66,72,1.53317528174839,0.0354006533442292,1.46456868752423,1.47541477799288,1.5091517145998,1.53290282613041,1.55690184136762,1.59186515786695,1.60333020837428
"66",67,73,1.3824587680266,0.0319632752677729,1.32051476622395,1.33030733704178,1.36076769856635,1.38221243913792,1.40388131106513,1.43545045058985,1.4458026271557
"67",68,74,1.3590994173371,0.0303699699115854,1.30022072746325,1.30953404211118,1.33849374855936,1.35887321171791,1.37945849613365,1.4094364015888,1.41926360699979
"68",69,75,1.38015140204868,0.0294806576792269,1.32296910936489,1.33202067077421,1.36015424193643,1.37994150100138,1.39991974579417,1.4289981257331,1.4385265382165
"69",70,76,1.36403335834405,0.0283700560781518,1.30899003907651,1.31770662588171,1.34479234856666,1.36383667707243,1.38305996271601,1.41103098922332,1.42019439496726
"70",71,77,1.43756042130446,0.0283476328501654,1.38253141567858,1.39125266716553,1.41834002601156,1.43737409411741,1.45657769813569,1.48450375495446,1.49364830378348
"71",72,78,1.42396435048163,0.0274924770701127,1.37058458038547,1.37904702045674,1.40532577677847,1.42378742198926,1.44241005132809,1.46948520013808,1.47834958589019
"72",73,79,1.50563895534539,0.0274584814860463,1.4522971786506,1.46076025024021,1.48702863089104,1.50547203765219,1.52406731971848,1.55108703219141,1.55992930755525
"73",74,80,1.65126019949978,0.0278174083726158,1.5971842810911,1.60577259474541,1.6324134707814,1.65110399653956,1.6699366482704,1.69728062691157,1.70622380328215
"74",75,81,1.66267816646635,0.0269237469360135,1.61032273446591,1.61864178415984,1.6444400309845,1.66253284331665,1.68075788221717,1.70721025934088,1.71585945522046
"75",76,82,1.72496568613183,0.0263986846525064,1.67360892389884,1.68177460547457,1.70708740116822,1.72483102048138,1.74269716922477,1.76861612358467,1.77708773989966
"76",77,83,1.62441788973427,0.0245177627390273,1.57671540923202,1.58430123256428,1.60781436212093,1.62429454040446,1.64088695161683,1.66495530268581,1.67282135230038
"77",78,84,1.45353166277636,0.0220315791864289,1.41066771721211,1.4174837796242,1.43861153767736,1.45342035139021,1.46833044496882,1.48995923919327,1.49702817994353
"78",79,85,1.46136556655626,0.0209329250877146,1.42062252345599,1.42710527751905,1.44719257205099,1.46126561848157,1.47542960547904,1.49596678752562,1.50267660486022
"79",80,86,1.32601937805762,0.0189727973168919,1.28909116103402,1.29496699542134,1.31317357609313,1.32592889102636,1.33876653812893,1.35738042014952,1.36346182409668
"80",81,87,1.18692244430806,0.0172622676676908,1.15332743556282,1.15867198540041,1.1752340561393,1.18683875949471,1.1985196058449,1.21545835970031,1.22099302568381
"81",82,88,1.23799999398996,0.0171240809171049,1.20466231617981,1.20996868785448,1.22640734457427,1.23792104115641,1.24950657516662,1.26630061536977,1.27178635316559
"82",83,89,1.30083974008029,0.0171227019658783,1.26749384038218,1.27280411594223,1.28925006817266,1.30076461324665,1.31234751452152,1.32913162860744,1.33461257845153
"83",84,90,1.39627812229963,0.0173915074032556,1.36239702997404,1.36779531938351,1.38450870260824,1.39620591563726,1.40796882783594,1.42500722861477,1.4305695583359
"84",85,91,1.47190223437621,0.0175879615333056,1.43762994756534,1.44309258342586,1.46000145930003,1.47183218131467,1.48372664296517,1.50095084258473,1.50657262624781
"85",86,92,1.39863848434661,0.016819733744443,1.36586440945672,1.37108795444041,1.38725729495151,1.39857106139165,1.40994617439862,1.42641899998442,1.43179571763624
"86",87,93,1.39412429001849,0.0162928037196482,1.3623717099615,1.36743369950103,1.38310063896311,1.39406082047316,1.40507875142213,1.42103138082453,1.42623756165156
